,title,price,type,beds,studio,baths,area,location,handover,payment,offplan,verified_plan,agent_plan
35,Motivated Seller | Vacant on Transfer | Vastu,"3,895,000",Townhouse,4,,3,"2,330 sqft","La Rosa 4, La Rosa, Villanova, Dubailand, Dubai",,,,on 14th of April 2025,TruBroker™
36,Rare | Upgraded | Internal | VOT,"4,800,000",Townhouse,3,,2,"2,700 sqft","Gallery Villas, Dubai Sports City, Dubai",,,,on 14th of April 2025,
37,Malta 4 Bedroom - Damac Lagoons - Almost complete,"2,350,000",Townhouse,4,,3,"2,300 sqft","Malta, DAMAC Lagoons, Dubai",Q3 2025,80/20,Off-Plan,on,TruBroker™
38,Hot Deal | Vacant | Upgraded Garden | Chiller,"2,200,000",Townhouse,3,,4,"1,946 sqft","Expo Golf Villas 2 (Parkside 2), Expo Golf Villas, Emaar South, Dubai South, Dubai",,,,on 12th of April 2025,TruBroker™
39,Great Value | Vacant | Close to Pool and Gym,"2,350,000",Townhouse,3,,4,"1,944 sqft","Expo Golf Villas 2 (Parkside 2), Expo Golf Villas, Emaar South, Dubai South, Dubai",,,,on 12th of April 2025,TruBroker™
40,Below Market | Prime Location | No Agents,"2,950,000",Townhouse,4,,4,"2,342 sqft","Expo Golf Villas 1 (Parkside 1), Expo Golf Villas, Emaar South, Dubai South, Dubai",,,,on 12th of April 2025,TruBroker™
41,Prime Location | No Agents | Below Market Price,"2,200,000",Townhouse,3,,4,"1,394 sqft","Expo Golf Villas 1 (Parkside 1), Expo Golf Villas, Emaar South, Dubai South, Dubai",,,,on 12th of April 2025,TruBroker™
42,Waterfront Living | Investor Deal | 1% Monthly,"2,491,000",Townhouse,4,,5,"2,210 sqft","Bali, DAMAC Islands, Dubailand, Dubai",Q4 2028,75/25,Off-Plan,on,TruBroker™
43,LUXURY VILLAS | MODERN DESIGN | PRIME LOCATION,"7,942,044",Townhouse,4,,5,"3,971 sqft","Knightsbridge, District 11, Mohammed Bin Rashid City, Dubai",Q4 2027,,"Off-Plan
|
Initial Sale",on,
44,Next to the central hub and amentias - Motivated Seller,"2,350,000",Townhouse,4,,3,"2,268 sqft","Santorini, DAMAC Lagoons, Dubai",Q3 2025,66/34,Off-Plan,on,TruBroker™
45,Corner Unit | Upgraded | Perfect condition,"4,800,000",Townhouse,4,,4,"2,354 sqft","Elan, Tilal Al Ghaf, Dubai",,,,on 11th of April 2025,TruBroker™
46,Spacious Plot | Upgraded | Great Investment,"4,900,000",Townhouse,4,,4,"2,470 sqft","Aura, Tilal Al Ghaf, Dubai",Q3 2024,55/45,Off-Plan,on,TruBroker™
47,Premium Location | Pool and Park Backing,"3,950,000",Townhouse,3,,4,"1,555 sqft","Elan, Tilal Al Ghaf, Dubai",,,,on 10th of April 2025,
48,Luxurious | 3 Huge BR | Rare Opportunity,"4,100,000",Townhouse,3,,4,"2,618 sqft","Golf Promenade 5A, Golf Promenade 5, Golf Promenade, Golf Town, DAMAC Hills, Dubai",,,,on 10th of April 2025,TruBroker™
49,4 Bed Townhouse | Near the Central Hub | HPHH,"3,000,000",Townhouse,4,,3,"2,268 sqft","Santorini, DAMAC Lagoons, Dubai",Q3 2025,66/34,Off-Plan,on,TruBroker™
50,Corner unit | Available now | Extended type 3E,"5,500,000",Townhouse,3,,4,"2,246 sqft","The Springs 4, The Springs, Dubai",,,,on 10th of April 2025,TruBroker™
51,Vacant on Transfer | Near Pool | Nearby Metro,"5,050,000",Townhouse,3,,4,"4,033 sqft","Green Community East, Green Community, Dubai",,,,on 10th of April 2025,TruBroker™
52,Corner Unit | Close to Lagoon | Exclusive,"4,400,000",Townhouse,4,,5,"2,470 sqft","Aura, Tilal Al Ghaf, Dubai",Q3 2024,55/45,Off-Plan,on,TruBroker™
53,Multiple option | Near to handover |Genuine Resale,"3,500,000",Townhouse,5,,6,"2,364 sqft","Portofino, DAMAC Lagoons, Dubai",Q2 2025,60/40,Off-Plan,on,
54,Prime location | Near to Lagoons | Luxury living,"2,650,000",Townhouse,4,,3,"2,280 sqft","Costa Brava, DAMAC Lagoons, Dubai",Q3 2025,80/20,Off-Plan,on,TruBroker™
55,Motivated Seller | Hot Deal | Prime Location,"4,400,000",Townhouse,4,,4,"3,032 sqft","Mudon Al Ranim 1, Mudon Al Ranim, Mudon, Dubai",Q4 2025,50/50,Off-Plan,on,
56,Near Pool and Park | Single Row | 4 Beds,"3,350,000",Townhouse,4,,4,"2,213 sqft","Amaranta, Villanova, Dubailand, Dubai",,,,on 9th of April 2025,TruBroker™
57,Close To Handover | Single Row | Genuine Resale,"2,550,000",Townhouse,4,,3,"2,276 sqft","Malta, DAMAC Lagoons, Dubai",Q3 2025,80/20,Off-Plan,on,
58,Vacant | Ready to move in | Landscaped Garden,"1,850,000",Townhouse,3,,5,"1,882 sqft","Juniper, DAMAC Hills 2 (Akoya by DAMAC), Dubai",,,,on 8th of April 2025,TruBroker™
59,Exclusive | Extended | Vacant Soon | Upgraded,"4,650,000",Townhouse,4,,3,"2,354 sqft","Elan, Tilal Al Ghaf, Dubai",,,,on 8th of April 2025,
60,Vacant | Upgraded | Spacious Layout | Exclusive,"3,100,000",Townhouse,2,,3,"2,992 sqft","Nakheel Townhouse, JVC District 12, Jumeirah Village Circle (JVC), Dubai",,,,on 8th of April 2025,TruBroker™
61,Upgraded | Motivated Resale | Internal,"3,750,000",Townhouse,3,,3,"2,175 sqft","Aura, Tilal Al Ghaf, Dubai",Q3 2024,55/45,Off-Plan,on,TruBroker™
62,Stylish and Spacious Brand New 4 Bedroom Townhouse,"5,200,000",Townhouse,4,,5,"2,250 sqft","Sevilla, Victory Heights, Dubai Sports City, Dubai",,,,on 7th of April 2025,TruBroker™
63,End of row | Close to Wadi | Park Backing,"3,200,000",Townhouse,3,,3,"2,288 sqft","Bliss 2, Arabian Ranches 3, Dubai",Q4 2025,75/25,Off-Plan,on,TruBroker™
64,3BR+MAID I SINGLE ROW I LA VIOLETA,"3,250,000",Townhouse,3,,3,"1,790 sqft","La Violeta 1, La Violeta, Villanova, Dubailand, Dubai",,,,on 7th of April 2025,
65,PRIME LOCATION || GENUINE RESALE || MOTIVATED SELLER,"2,299,999",Townhouse,4,,3,"2,318 sqft","Monte Carlo, DAMAC Lagoons, Dubai",Q4 2025,60/40,Off-Plan,on,TruBroker™
66,Vastu Unit | Prime Location | Close to Beach,"2,900,000",Townhouse,3,,4,"1,874 sqft","Talia, The Valley by Emaar, Dubai",,,,on 5th of April 2025,TruBroker™
67,Type 2M | VOT | Upgraded | Prime Location,"3,350,000",Townhouse,3,,4,"2,385 sqft","Mira 5, Mira, Reem, Dubai",,,,on 5th of April 2025,TruBroker™
68,Multiple option | Near to handover |Genuine Resale,"2,450,000",Townhouse,4,,3,"1,550 sqft","Nice, DAMAC Lagoons, Dubai",Q3 2025,80/20,Off-Plan,on,
69,DAMAC Islands Maldives – 4-Bedroom Townhouse | Launching Soon,"2,374,540",Townhouse,4,,5,"2,249 sqft","DAMAC Islands, Dubailand, Dubai",Q4 2028,70/30,Off-Plan,on,
70,3Bed | Closed Kitchen | R2M Layout | Single Row,"2,000,000",Townhouse,3,,5,"1,882 sqft","Aster, DAMAC Hills 2 (Akoya by DAMAC), Dubai",,,,on 4th of April 2025,TruBroker™
71,Genuine Resale | Single Row | Close to Pool,"1,950,000",Townhouse,4,,5,"3,515 sqft","Verdana 2, Dubai Investment Park (DIP), Dubai",Q4 2025,100/0,Off-Plan,on,TruBroker™
